rank,name,deck_freq,copies,winrate,play_time,play_freq,play_winrate
169,Flamewaker,0.018,1.900,0.570,40000,0.002,0.513
170,Candleshot,0.033,1.600,0.564,40000,0.002,0.500
171,Voidwalker,0.018,1.800,0.554,40000,0.002,0.463
172,Silence,0.048,1.100,0.558,40000,0.002,0.517
173,Dragonfire Potion,0.048,1.300,0.537,39000,0.002,0.475
174,Murmuring Elemental,0.034,1.500,0.479,39000,0.002,0.541
175,Explosive Trap,0.031,1.700,0.570,39000,0.002,0.427
176,Haunted Creeper,0.030,1.900,0.600,39000,0.002,0.510
177,Dire Mole,0.030,1.900,0.587,39000,0.002,0.501
178,Ironbeak Owl,0.055,1.400,0.595,39000,0.002,0.419
179,Far Sight,0.029,1.600,0.480,39000,0.002,0.481
180,Divine Favor,0.053,1.700,0.611,38000,0.002,0.467
181,Kun the Forgotten King,0.050,1.000,0.572,38000,0.002,0.740
182,Lesser Emerald Spellstone,0.029,1.900,0.588,38000,0.002,0.532
183,Freezing Trap,0.034,1.600,0.579,37000,0.002,0.476
184,Tracking,0.029,1.700,0.569,37000,0.002,0.483
185,Unleash the Hounds,0.036,1.600,0.571,36000,0.002,0.409
186,Vulgar Homunculus,0.025,1.600,0.558,36000,0.002,0.502
187,Cobalt Scalebane,0.039,1.500,0.566,36000,0.002,0.499
188,Healing Rain,0.041,1.600,0.484,36000,0.002,0.456
189,Cold Blood,0.036,2.000,0.602,36000,0.002,0.607
190,Fal'dorei Strider,0.020,1.700,0.523,36000,0.002,0.525
191,Gluttonous Ooze,0.056,1.000,0.514,35000,0.001,0.522
192,Mind Blast,0.027,1.900,0.527,35000,0.001,0.756
193,Greater Healing Potion,0.057,1.200,0.554,35000,0.001,0.484
194,Unidentified Maul,0.029,1.800,0.633,35000,0.001,0.525
195,Level Up!,0.033,1.900,0.632,34000,0.001,0.590
196,Shield Block,0.020,1.900,0.468,34000,0.001,0.450
197,Faceless Manipulator,0.039,1.300,0.531,34000,0.001,0.612
198,Frost Lich Jaina,0.039,1.000,0.513,33000,0.001,0.554
199,Blessing of Kings,0.026,1.800,0.586,33000,0.001,0.505
200,Holy Smite,0.022,1.800,0.529,33000,0.001,0.538
201,Ice Barrier,0.021,1.400,0.494,33000,0.001,0.444
202,Dark Pact,0.031,1.700,0.535,32000,0.001,0.551
203,Aviana,0.044,1.000,0.566,32000,0.001,0.759
204,Fandral Staghelm,0.052,1.000,0.594,32000,0.001,0.608
